Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		6,900 K	24,724 K	88		
System Idle Process	64.23	60 K	8 K	0		
System	0.89	196 K	24 K	4		
 Interrupts	2.77	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,156 K	376 K	332		
 Memory Compression		76 K	140 K	1388		
csrss.exe	0.02	1,672 K	2,112 K	420		
wininit.exe		1,348 K	984 K	496		
 services.exe		4,784 K	6,712 K	608		
  svchost.exe		908 K	1,132 K	736	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.12	10,364 K	16,576 K	780	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		18,180 K	30,492 K	2180		
   RuntimeBroker.exe		3,944 K	12,956 K	4940	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	102,204 K	156,388 K	1368	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		17,580 K	49,764 K	3404	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		3,464 K	12,184 K	5424	Runtime Broker	Microsoft Corporation
   WinStore.App.exe	Suspended	25,900 K	612 K	6740	Store	Microsoft Corporation
   ApplicationFrameHost.exe		17,336 K	24,124 K	6748	Application Frame Host	Microsoft Corporation
   RuntimeBroker.exe		1,456 K	1,560 K	6952	Runtime Broker	Microsoft Corporation
   SystemSettings.exe	Suspended	19,304 K	760 K	2972	Settings	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	46,532 K	37,828 K	1672		
   RuntimeBroker.exe		10,308 K	22,700 K	316	Runtime Broker	Microsoft Corporation
   dllhost.exe		3,624 K	11,644 K	3248	COM Surrogate	Microsoft Corporation
   ShellExperienceHost.exe		16,888 K	54,028 K	7952	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		6,520 K	25,184 K	8064	Runtime Broker	Microsoft Corporation
   HelpPane.exe		4,084 K	23,484 K	6160	Microsoft Help and Support	Microsoft Corporation
   smartscreen.exe		13,396 K	29,680 K	3240	Windows Defender SmartScreen	Microsoft Corporation
   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	0.04	8,680 K	37,396 K	2276	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	Microsoft Corporation
   dllhost.exe	1.23	1,656 K	6,540 K	7188	COM Surrogate	Microsoft Corporation
  svchost.exe	0.18	7,188 K	11,472 K	868	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.06	2,920 K	4,680 K	916	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,168 K	4,992 K	424	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,136 K	2,600 K	364	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.36	5,608 K	8,548 K	1172	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe	0.01	7,752 K	13,176 K	1600	Host Process for Windows Tasks	Microsoft Corporation
  VBoxService.exe		2,580 K	3,520 K	1200	VirtualBox Guest Additions Service	Oracle Corporation
  svchost.exe		2,744 K	6,136 K	1212	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,716 K	5,948 K	1292	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,368 K	19,412 K	4784	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe	1.31	66,508 K	65,392 K	1304	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	1,308 K	1,604 K	1328	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,596 K	1,784 K	1436	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	1,480 K	2,168 K	1532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,632 K	4,248 K	1540	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		13,152 K	12,320 K	1548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,884 K	4,124 K	1556	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,828 K	4,340 K	1564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,556 K	1,656 K	1608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.03	4,352 K	5,004 K	1720	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,128 K	5,980 K	1744	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,968 K	3,028 K	1780	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,388 K	1,660 K	1788	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,640 K	1,872 K	1800	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,792 K	2,960 K	1816	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.03	2,052 K	2,632 K	1836	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,900 K	4,176 K	2004	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,140 K	2,268 K	2024	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,240 K	7,168 K	2036	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	3,144 K	4,408 K	1884	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,168 K	3,184 K	2104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,524 K	2,208 K	2112	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,988 K	2,216 K	2200	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.05	6,624 K	11,356 K	2232	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,656 K	5,096 K	2348	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.06	1,832 K	3,440 K	2488	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		5,176 K	3,976 K	2592	Spooler SubSystem App	Microsoft Corporation
  svchost.exe		11,092 K	12,812 K	2608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.17	5,192 K	9,976 K	2760	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	12,656 K	18,852 K	2772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	21,020 K	22,272 K	2784	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,744 K	10,300 K	2796	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,376 K	3,792 K	2880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,556 K	1,800 K	2896	Host Process for Windows Services	Microsoft Corporation
  MsMpEng.exe	3.51	164,860 K	185,720 K	2928	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		1,272 K	1,112 K	2944	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,304 K	5,536 K	2964	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,348 K	3,864 K	3036	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,264 K	1,372 K	3104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,228 K	3,384 K	3268	Host Process for Windows Services	Microsoft Corporation
  armsvc.exe		3,060 K	15,608 K	3292	Adobe Acrobat Update Service	Adobe Systems
  svchost.exe		3,644 K	10,792 K	3516	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,728 K	5,092 K	3608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,540 K	9,220 K	2000	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	4,348 K	9,028 K	4052	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,788 K	5,636 K	1860	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		3,244 K	3,828 K	2060	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe		4,608 K	5,184 K	2824	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,516 K	4,692 K	728	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		64,604 K	48,512 K	2344	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,532 K	11,048 K	3632	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,704 K	5,620 K	4728	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,116 K	3,328 K	2484	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,984 K	9,560 K	704	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,756 K	24,404 K	4456	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,276 K	9,372 K	2548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,728 K	1,888 K	2404	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	0.98	9,620 K	14,972 K	2728		
  svchost.exe		3,652 K	14,112 K	348	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		3,956 K	7,432 K	5568	Windows Security Health Service	Microsoft Corporation
  SteamService.exe	< 0.01	5,004 K	3,960 K	6048	Steam Client Service	Valve Corporation
  NisSrv.exe	0.07	6,068 K	6,020 K	6600	Microsoft Network Realtime Inspection Service	Microsoft Corporation
